Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,Month,Year,,,,,,
-34.0%,RO,F,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,G,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-32.0%,RO,H,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-35.0%,RO,I,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-33.0%,RO,J,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-34.0%,RO,K,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-33.0%,RO,L,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,M,SI1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-37.0%,RO,D,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-38.0%,RO,E,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,F,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,G,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,H,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-38.0%,RO,I,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-37.0%,RO,J,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,K,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-35.0%,RO,L,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,M,SI2,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-25.0%,RO,D,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-26.0%,RO,E,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,F,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-33.0%,RO,G,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,H,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-29.0%,RO,I,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,J,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,K,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-32.0%,RO,L,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-33.0%,RO,M,I1,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-46.0%,RO,D,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-46.0%,RO,E,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-42.0%,RO,F,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-42.0%,RO,G,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-38.0%,RO,H,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-33.0%,RO,I,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-35.0%,RO,J,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-35.0%,RO,K,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-37.0%,RO,L,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-37.0%,RO,M,IF,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
