Price per carat,Clarity,Colour,CO,Month,Year,Size
6732.75,0,1,1,10,2017,1
6256.25,1,1,1,10,2017,1
4939.083333,2,1,1,10,2017,1
3127.5,3,1,1,10,2017,1
2948.375,0,2,2,10,2017,1
2908.75,1,2,2,10,2017,1
2515.4375,2,2,2,10,2017,1
1935,3,2,2,10,2017,1
15510.625,0,0,0,10,2017,2
12080,1,0,0,10,2017,2
7780.625,2,0,0,10,2017,2
4239.5,3,0,0,10,2017,2
9839.166667,0,1,1,10,2017,2
8529.75,1,1,1,10,2017,2
6418.333333,2,1,1,10,2017,2
3799.333333,3,1,1,10,2017,2
4119.375,0,2,2,10,2017,2
3915.625,1,2,2,10,2017,2
3185.5,2,2,2,10,2017,2
2160.75,3,2,2,10,2017,2
3493.75,0,3,2,10,2017,0
3346.5,1,3,2,10,2017,0
2888.25,2,3,2,10,2017,0
1999.5,3,3,2,10,2017,0
4077.25,0,3,2,10,2017,1
4010.75,1,3,2,10,2017,1
3429,2,3,2,10,2017,1
2354.25,3,3,2,10,2017,1
5532.625,0,3,2,10,2017,2
5173.75,1,3,2,10,2017,2
4377.5,2,3,2,10,2017,2
2870.25,3,3,2,10,2017,2
7522.5,0,0,0,11,2017,0
6296.125,1,0,0,11,2017,0
4538.625,2,0,0,11,2017,0
3092.75,3,0,0,11,2017,0
5407,0,1,1,11,2017,0
4962.583333,1,1,1,11,2017,0
3899.75,2,1,1,11,2017,0
2733.666667,3,1,1,11,2017,0
2720.5,0,2,2,11,2017,0
2605,1,2,2,11,2017,0
2210.75,2,2,2,11,2017,0
1709.25,3,2,2,11,2017,0
9794.25,0,0,0,11,2017,1
8505.375,1,0,0,11,2017,1
5796.875,2,0,0,11,2017,1
3560.75,3,0,0,11,2017,1
6732.75,0,1,1,11,2017,1
6256.25,1,1,1,11,2017,1
4939.083333,2,1,1,11,2017,1
3127.5,3,1,1,11,2017,1
2948.375,0,2,2,11,2017,1
2908.75,1,2,2,11,2017,1
2515.4375,2,2,2,11,2017,1
1935,3,2,2,11,2017,1
15510.625,0,0,0,11,2017,2
12080,1,0,0,11,2017,2
7780.625,2,0,0,11,2017,2
4239.5,3,0,0,11,2017,2
9839.166667,0,1,1,11,2017,2
8529.75,1,1,1,11,2017,2
6418.333333,2,1,1,11,2017,2
3799.333333,3,1,1,11,2017,2
4119.375,0,2,2,11,2017,2
3915.625,1,2,2,11,2017,2
3185.5,2,2,2,11,2017,2
2160.75,3,2,2,11,2017,2
3493.75,0,3,2,11,2017,0
3346.5,1,3,2,11,2017,0
2888.25,2,3,2,11,2017,0
1999.5,3,3,2,11,2017,0
4077.25,0,3,2,11,2017,1
4010.75,1,3,2,11,2017,1
3429,2,3,2,11,2017,1
2354.25,3,3,2,11,2017,1
5532.625,0,3,2,11,2017,2
5173.75,1,3,2,11,2017,2
4377.5,2,3,2,11,2017,2
2870.25,3,3,2,11,2017,2
7554,0,0,0,0,2018,0
6296.125,1,0,0,0,2018,0
4538.625,2,0,0,0,2018,0
3092.75,3,0,0,0,2018,0
5407,0,1,1,0,2018,0
4962.583333,1,1,1,0,2018,0
3899.75,2,1,1,0,2018,0
2733.666667,3,1,1,0,2018,0
2787.25,0,2,2,0,2018,0
2674.5,1,2,2,0,2018,0
2245.5,2,2,2,0,2018,0
1709.25,3,2,2,0,2018,0
9874.25,0,0,0,0,2018,1
8505.375,1,0,0,0,2018,1
5796.875,2,0,0,0,2018,1
3560.75,3,0,0,0,2018,1
6732.75,0,1,1,0,2018,1
6256.25,1,1,1,0,2018,1
4939.083333,2,1,1,0,2018,1
3127.5,3,1,1,0,2018,1
2978.125,0,2,2,0,2018,1
2908.75,1,2,2,0,2018,1
2515.4375,2,2,2,0,2018,1
1935,3,2,2,0,2018,1
15510.625,0,0,0,0,2018,2
12080,1,0,0,0,2018,2
7780.625,2,0,0,0,2018,2
4239.5,3,0,0,0,2018,2
9839.166667,0,1,1,0,2018,2
8529.75,1,1,1,0,2018,2
6418.333333,2,1,1,0,2018,2
3799.333333,3,1,1,0,2018,2
4119.375,0,2,2,0,2018,2
3915.625,1,2,2,0,2018,2
3185.5,2,2,2,0,2018,2
2160.75,3,2,2,0,2018,2
3526.25,0,3,2,0,2018,0
3380.25,1,3,2,0,2018,0
2905,2,3,2,0,2018,0
1999.5,3,3,2,0,2018,0
4138.25,0,3,2,0,2018,1
4060,1,3,2,0,2018,1
3477.5,2,3,2,0,2018,1
2354.25,3,3,2,0,2018,1
5532.625,0,3,2,0,2018,2
5173.75,1,3,2,0,2018,2
4377.5,2,3,2,0,2018,2
2870.25,3,3,2,0,2018,2
7673.625,0,0,0,1,2018,0
6591.5,1,0,0,1,2018,0
4642.125,2,0,0,1,2018,0
3092.75,3,0,0,1,2018,0
5582.5,0,1,1,1,2018,0
5220.083333,1,1,1,1,2018,0
3997.583333,2,1,1,1,2018,0
2733.666667,3,1,1,1,2018,0
2841.25,0,2,2,1,2018,0
2733.5,1,2,2,1,2018,0
2279.5,2,2,2,1,2018,0
1709.25,3,2,2,1,2018,0
10073,0,0,0,1,2018,1
8685.75,1,0,0,1,2018,1
5873.125,2,0,0,1,2018,1
3560.75,3,0,0,1,2018,1
6922.25,0,1,1,1,2018,1
6293.25,1,1,1,1,2018,1
4947,2,1,1,1,2018,1
3127.5,3,1,1,1,2018,1
3199.5,0,2,2,1,2018,1
2951.75,1,2,2,1,2018,1
2631.5,2,2,2,1,2018,1
1935,3,2,2,1,2018,1
15510.625,0,0,0,1,2018,2
12080,1,0,0,1,2018,2
7780.625,2,0,0,1,2018,2
4239.5,3,0,0,1,2018,2
9839.166667,0,1,1,1,2018,2
8529.75,1,1,1,1,2018,2
6418.333333,2,1,1,1,2018,2
3799.333333,3,1,1,1,2018,2
4119.375,0,2,2,1,2018,2
3915.625,1,2,2,1,2018,2
3185.5,2,2,2,1,2018,2
2160.75,3,2,2,1,2018,2
3599.75,0,3,2,1,2018,0
3541.5,1,3,2,1,2018,0
3011.25,2,3,2,1,2018,0
1999.5,3,3,2,1,2018,0
4232.5,0,3,2,1,2018,1
4116.5,1,3,2,1,2018,1
3586.5,2,3,2,1,2018,1
2354.25,3,3,2,1,2018,1
5532.625,0,3,2,1,2018,2
5173.75,1,3,2,1,2018,2
4377.5,2,3,2,1,2018,2
2870.25,3,3,2,1,2018,2
7673.625,0,0,0,2,2018,0
6591.5,1,0,0,2,2018,0
4642.125,2,0,0,2,2018,0
3092.75,3,0,0,2,2018,0
5582.5,0,1,1,2,2018,0
5220.083333,1,1,1,2,2018,0
3997.583333,2,1,1,2,2018,0
2733.666667,3,1,1,2,2018,0
2841.25,0,2,2,2,2018,0
2733.5,1,2,2,2,2018,0
2279.5,2,2,2,2,2018,0
1709.25,3,2,2,2,2018,0
10073,0,0,0,2,2018,1
8685.75,1,0,0,2,2018,1
5873.125,2,0,0,2,2018,1
3560.75,3,0,0,2,2018,1
6922.25,0,1,1,2,2018,1
6293.25,1,1,1,2,2018,1
4947,2,1,1,2,2018,1
3127.5,3,1,1,2,2018,1
3199.5,0,2,2,2,2018,1
2951.75,1,2,2,2,2018,1
2631.5,2,2,2,2,2018,1
1935,3,2,2,2,2018,1
15510.625,0,0,0,2,2018,2
12080,1,0,0,2,2018,2
7780.625,2,0,0,2,2018,2
4239.5,3,0,0,2,2018,2
9839.166667,0,1,1,2,2018,2
8529.75,1,1,1,2,2018,2
6418.333333,2,1,1,2,2018,2
3799.333333,3,1,1,2,2018,2
4119.375,0,2,2,2,2018,2
3915.625,1,2,2,2,2018,2
3185.5,2,2,2,2,2018,2
2160.75,3,2,2,2,2018,2
3599.75,0,3,2,2,2018,0
3541.5,1,3,2,2,2018,0
3011.25,2,3,2,2,2018,0
1999.5,3,3,2,2,2018,0
4232.5,0,3,2,2,2018,1
4116.5,1,3,2,2,2018,1
3586.5,2,3,2,2,2018,1
2354.25,3,3,2,2,2018,1
5532.625,0,3,2,2,2018,2
5173.75,1,3,2,2,2018,2
4377.5,2,3,2,2,2018,2
2870.25,3,3,2,2,2018,2
7958.875,0,0,0,3,2018,0
6605.5,1,0,0,3,2018,0
4701,2,0,0,3,2018,0
3092.75,3,0,0,3,2018,0
5667.166667,0,1,1,3,2018,0
5297.333333,1,1,1,3,2018,0
4189.583333,2,1,1,3,2018,0
2733.666667,3,1,1,3,2018,0
2841.25,0,2,2,3,2018,0
2774.5,1,2,2,3,2018,0
2307.25,2,2,2,3,2018,0
1709.25,3,2,2,3,2018,0
10543.5,0,0,0,3,2018,1
8748,1,0,0,3,2018,1
5933.125,2,0,0,3,2018,1
3560.75,3,0,0,3,2018,1
7102.666667,0,1,1,3,2018,1
