SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
,VS2,J,#REF!, ,57, ,1,, , ,-47, ,-23,-39,-32,,, ,,0,-32.5,,,,0,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-27,-42,-32,,, ,,-27.06,-39.19444444,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-23,-53,-34,,, ,,0,-35.5,,,,0,0,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,-32,-50,-45,,, ,,0,0,,,,0,0,,
,VVS1,K,#REF!, ,35,0%,0,, , ,-48,70,-29,-49,-37,,, ,,0,-30.75,,,,-40,0,,
,VVS2,K,#REF!, ,38,10%,2,, ,95,-50,107,-26,-40,-36,,, ,,-37.28,-38.75,,,,0,0,,
,VS1,K,#REF!, ,34,0%,1,, , ,-44,95,-27,-43,-31.5,,, ,,-47.46,-31.91666667,,,,0,0,,
,VS2,K,#REF!, ,43,0%,2,, , ,-45,12,-23,-43,-34,,, ,,-33.92666667,-34.75,,,,0,0,,
,SI1,K,#REF!, ,63, ,2,, , ,-41, ,-23,-42,-33,,, ,,-29.48333333,-36.58333333,,,,0,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-22,-38,-32,,, ,,0,-32.5,,,,0,0,,
,IF,L,#REF!, ,44, ,0,, , , , ,-40,-41,-40,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , ,-51,43,-28,-57,-37,,, ,,0,0,,,,0,0,,
,VVS2,L,#REF!, ,51,0%,0,, , ,-50,77,-27,-42,-34,,, ,,-44.53,-29.5,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , ,-49,66,-21,-40,-34,,, ,,0,-32,,,,0,-33,,
,VS2,L,#REF!, ,76,0%,1,, , ,-48,155,-17,-32,-26,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , ,-45, ,-23,-41,-30.5,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-16,-37,-25.5,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , ,-51,102,-30,-48,-41,,, ,,0,-34.25,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , ,-50,123,-27,-46,-36,,, ,,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , ,-49,120,-28,-48,-37,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , ,-48, ,-26,-42,-35,,, ,,-47.76,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , ,-45,139,-24,-46,-34.5,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,-22,-38,-36,,, ,,0,0,,,,0,0,,
0.30-0.34 VG MED,IF,D,#REF!, ,66, ,0,, , , , ,-46,-56,-54,,, ,,0,0,,,,0,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-40,-48,-45,,, ,,0,0,,,,0,0,,
,VVS2,D,#REF!, ,47,0%,15,, , , ,26,-38,-50,-48.5,,, ,,-49,0,,,,0,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-39,-48,-45,,, ,,0,0,,,,-46,0,,
,VS2,D,#REF!, ,70,0%,22,, , , ,98,-43,-48,-46,,, ,,-44.28,-43.25,,,,-48,0,,
,SI1,D,#REF!, ,53,0%,32,, , , ,35,-46,-52,-47,,, ,,-44.7375,-44.70967742,,,,0,0,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-41,-47,-44,,, ,,-45.43,-45.25,,,,0,-43,,
,IF,E,#REF!, ,21, ,0,, , , , ,-44,-45,-44.5,,, ,,0,-46.625,,,,0,0,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,-44,-46,-45,,, ,,0,-47,,,,0,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30, ,82,-45,-47,-47,,, ,,0,0,,,,0,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-39,-48,-45,,, ,,-43.26,0,,,,0,0,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,-37,-49,-42,,, ,,0,0,,,,0,0,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-38,-49,-44,,, ,,-45,-44.39814815,,,,0,-48,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-33,-49,-43,,, ,,-45.87,-47,,,,0,-41,,
,IF,F,#REF!, ,27, ,0,, , , , ,-48,-48,-48,,, ,,0,0,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,-45,-45,-45,,, ,,0,0,,,,0,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-44,-49,-44,,, ,,0,0,,,,0,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-41,-45,-44,,, ,,0,0,,,,-42,0,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-34,-46,-43,,, ,,0,0,,,,0,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-34,-48,-42,,, ,,-40.95,-42.3875,,,,0,-43,,
,SI2,F,#REF!, ,55, ,14,, , , , ,-39,-46,-42,,, ,,0,-40.0625,,,,0,0,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167, ,155,-35,-46,-42,,, ,,0,-41.5,,,,-42,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153, ,206,-32,-44,-42,,, ,,0,0,,,,0,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-35,-44,-40,,, ,,0,-38.75,,,,0,0,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-37,-45,-40,,, ,,0,-37,,,,0,0,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-32,-46,-42,,, ,,-43.39333333,-41.17592593,,,,0,0,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-32,-43,-39,,, ,,0,-39.37096774,,,,0,-40,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,-39,-44,-43,,, ,,0,-38.5,,,,0,0,,
,VVS1,H,#REF!, ,62,0%,1,, , , ,102,-41,-47,-42,,, ,,-40.8,0,,,,-42,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-33,-45,-39,,, ,,0,-41,,,,0,0,,
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-31,-43,-38,,, ,,-38.04,0,,,,-34,0,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-31,-44,-40,,, ,,0,-36.375,,,,0,0,,
,SI1,H,#REF!, ,56,0%,12,, , ,-46,165,-28,-45,-38,,, ,,-40.98,-38.07142857,,,,0,0,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-22,-47,-36,,, ,,-40.565,-36.31730769,,,,0,0,,
,IF,I,#REF!, ,28, ,0,, , , , ,-36,-41,-41,,, ,,0,0,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-35,-42,-38,,, ,,0,-36.75,,,,0,0,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-33,-43,-40,,, ,,-44,-35.625,,,,0,0,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-31,-43,-33,,, ,,0,-34.125,,,,0,0,,
,VS2,I,#REF!, ,65,17%,3,, ,203, ,58,-30,-46,-37,,, ,,0,-33,,,,0,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-27,-48,-40,,, ,,-48.41,-37.88333333,,,,0,-42,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-28,-41,-38,,, ,,0,-36.171875,,,,0,0,,
,IF,J,#REF!, ,43, ,0,, , , , ,-40,-40,-40,,, ,,0,0,,,,0,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,-36,-45,-39,,, ,,0,0,,,,0,0,,
,VVS2,J,#REF!, ,54,0%,3,, , , ,80,-29,-41,-34,,, ,,0,-35.66666667,,,,0,0,,
,VS1,J,#REF!, ,49,0%,0,, , ,-49,12,-29,-44,-37,,, ,,0,-37.5,,,,0,0,,
,VS2,J,#REF!, ,57, ,1,, , , , ,-29,-45,-40,,, ,,0,0,,,,0,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-26,-40,-32.5,,, ,,0,-40.75,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-23,-43,-34,,, ,,-40.66,-36.91666667,,,,0,0,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,-34,-40,-37,,, ,,0,0,,,,0,0,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,-29,-51,-43,,, ,,0,0,,,,0,0,,
,VVS2,K,#REF!, ,38,10%,2,, ,95, ,107,-40,-49,-40,,, ,,0,0,,,,0,0,,
,VS1,K,#REF!, ,34,0%,1,, , ,-45,95,-28,-44,-36,,, ,,-37.71,0,,,,0,0,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,-22,-38,-33,,, ,,-34.59,0,,,,0,-33,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-32,-46,-36,,, ,,0,-39,,,,0,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-24,-43,-35,,, ,,0,0,,,,0,-33,,
,IF,L,#REF!, ,44, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-38,-40,-39.5,,, ,,0,0,,,,0,-39,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,-37,-45,-37,,, ,,0,-37.25,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-30,-35,-31,,, ,,0,0,,,,0,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-27,-36,-34,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-28,-40,-29,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-22,-44,-32,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,-39,-50,-43,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , , ,123,-30,-48,-37.5,,, ,,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,-42,-42,-42,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , , , ,-23,-46,-31,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-32,-37,-34.5,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,-26,-39,-26,,, ,,0,0,,,,0,0,,
0.30-0.34 VG STG,IF,D,#REF!, ,66, ,0,, , , , ,-54,-55,-54.5,,, ,,0,0,,,,0,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-50,-50,-50,,, ,,0,0,,,,0,0,,
,VVS2,D,#REF!, ,47,0%,15,, , , ,26,-40,-53,-49.5,,, ,,0,0,,,,0,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-44,-48,-46,,, ,,0,0,,,,0,0,,
,VS2,D,#REF!, ,70,0%,22,, , , ,98,-30,-49,-47,,, ,,-44,0,,,,0,0,,
,SI1,D,#REF!, ,53,0%,32,, , , ,35,-42,-54,-46,,, ,,0,-46.25,,,,0,-47,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-40,-49,-46,,, ,,0,-48.25,,,,0,0,,
,IF,E,#REF!, ,21, ,0,, , , , ,-50,-50,-50,,, ,,0,0,,,,0,-50,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30, ,82,-38,-48,-47,,, ,,0,0,,,,0,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-43,-47,-45,,, ,,0,0,,,,0,0,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,-40,-48,-44,,, ,,0,0,,,,0,0,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-36,-52,-45,,, ,,0,-47.16666667,,,,0,0,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-41,-45,-43,,, ,,-55.44,0,,,,0,-42,,
,IF,F,#REF!, ,27, ,0,, , , , ,-26,-41,-33.5,,, ,,0,0,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-46,-46,-46,,, ,,0,0,,,,0,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-41,-45,-44,,, ,,0,0,,,,0,0,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-36,-45,-44,,, ,,0,0,,,,0,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-40,-49,-44,,, ,,-54.11,-46.75,,,,0,0,,
,SI2,F,#REF!, ,55, ,14,, , , , ,-40,-47,-43,,, ,,0,0,,,,0,-43,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167, ,155,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153, ,206,-42,-46,-42,,, ,,0,0,,,,0,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-43,-43,-43,,, ,,0,0,,,,0,0,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-40,-46,-43,,, ,,0,0,,,,0,0,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-39,-49,-41.5,,, ,,0,-40.5,,,,0,0,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-35,-48,-44.5,,, ,,0,0,,,,0,-35,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,-49,-49,-49,,, ,,0,0,,,,0,0,,
,VVS1,H,#REF!, ,62,0%,1,, , , ,102,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-37,-39,-38,,, ,,0,0,,,,0,0,,
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-37,-45,-41,,, ,,0,0,,,,0,0,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-36,-44,-41,,, ,,0,0,,,,0,-39,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-37,-46,-38,,, ,,0,0,,,,0,0,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-35,-40,-39,,, ,,0,-39.25,,,,0,-40,,
,IF,I,#REF!, ,28, ,0,, , , , ,-39,-40,-40,,, ,,0,0,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,0,0,0,,, ,,0,-38,,,,0,0,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-36,-47,-43,,, ,,0,-38.25,,,,0,0,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-36,-45,-42,,, ,,0,-36.5,,,,-44,0,,
,VS2,I,#REF!, ,65,17%,3,, ,203, ,58,-36,-47,-39,,, ,,0,0,,,,0,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-38,-48,-46,,, ,,0,-42.75,,,,0,0,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-35,-47,-43.5,,, ,,0,-43.5,,,,0,-35,,
,IF,J,#REF!, ,43, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,-35,-41,-38,,, ,,0,0,,,,0,0,,
,VVS2,J,#REF!, ,54,0%,3,, , , ,80,-32,-41,-35,,, ,,0,-40,,,,0,0,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-37,-45,-39,,, ,,0,0,,,,0,0,,
,VS2,J,#REF!, ,57, ,1,, , ,-53, ,-29,-40,-33,,, ,,0,0,,,,0,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-32,-44,-42,,, ,,0,0,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-32,-41,-39,,, ,,0,0,,,,0,-41,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,-42,-42,-42,,, ,,0,0,,,,0,0,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,-41,-47,-45,,, ,,0,0,,,,0,0,,
,VVS2,K,#REF!, ,38,10%,2,, ,95, ,107,-33,-43,-40,,, ,,0,0,,,,-41,-43,,
,VS1,K,#REF!, ,34,0%,1,, , , ,95,-35,-40,-38,,, ,,0,0,,,,-39,-36,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,-33,-36,-33,,, ,,0,0,,,,0,0,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-31,-40,-38,,, ,,0,0,,,,0,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-23,-38,-30.5,,, ,,0,0,,,,0,0,,
,IF,L,#REF!, ,44, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-40,-42,-40.5,,, ,,0,0,,,,0,-41,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,-37,-39,-37,,, ,,0,0,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-23,-39,-39,,, ,,0,0,,,,0,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-38,-46,-38,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-38,-38,-38,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-23,-35,-35,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,-44,-44,-44,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,-51,-51,-51,,, ,,0,0,,,,0,-45,,
,VVS2,M,#REF!, ,60,0%, ,, , , ,123,-40,-40,-40,,, ,,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,-42,-42,-42,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , , , ,-40,-44,-42,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-32,-47,-39.5,,, ,,0,0,,,,0,-32,,
,SI2,M,#REF!, ,65, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
0.30-0.34 GD NON,IF,D,#REF!, ,66, ,0,, , , , ,-56,-56,-56,,, ,,0,0,,,,0,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-48,-49,-48,,, ,,0,0,,,,0,0,,
,VVS2,D,#REF!, ,47,0%,15,, , , ,26,-46,-50,-49,,, ,,0,0,,,,0,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-42,-50,-48,,, ,,0,-45,,,,0,0,,
,VS2,D,#REF!, ,70,0%,22,, , , ,98,-36,-49,-47,,, ,,0,-44,,,,0,0,,
,SI1,D,#REF!, ,53,0%,32,, , , ,35,-37,-50,-47,,, ,,0,-47,,,,0,-45,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-35,-50,-43,,, ,,-40,-39,,,,0,-43,,
,IF,E,#REF!, ,21, ,0,, , , , ,-47,-49,-49,,, ,,0,0,,,,0,0,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,-45,-45,-45,,, ,,0,0,,,,0,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30, ,82,-43,-47,-45,,, ,,0,0,,,,0,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-34,-48,-46,,, ,,0,-46,,,,0,0,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,-43,-50,-45,,, ,,0,-44,,,,0,0,,
,SI1,E,#REF!, ,58,0%,38,, , ,-56,82,-35,-52,-40,,, ,,-44,-43,,,,0,-46,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-35,-58,-43,,, ,,-61,-36,,,,0,-42,,
,IF,F,#REF!, ,27, ,0,, , , , ,-43,-48,-43,,, ,,0,0,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,-37,-46,-44.5,,, ,,-44,0,,,,0,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-36,-46,-44,,, ,,0,0,,,,-44,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-37,-48,-45,,, ,,0,-43,,,,0,0,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-37,-46,-42,,, ,,-43,0,,,,0,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-35,-51,-43,,, ,,0,-40,,,,0,0,,
,SI2,F,#REF!, ,55, ,14,, , , , ,-33,-54,-41,,, ,,-62,-33,,,,0,-43,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167, ,155,-40,-47,-45,,, ,,0,-42,,,,0,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153, ,206,-42,-44,-43,,, ,,0,0,,,,-43,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-34,-44,-41,,, ,,0,0,,,,0,-41,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-35,-44,-42,,, ,,0,0,,,,0,-41,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-31,-46,-33.5,,, ,,0,-39,,,,0,-43,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-26,-46,-31,,, ,,-42,-34,,,,0,0,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,-43,-47,-46,,, ,,0,0,,,,-47,0,,
,VVS1,H,#REF!, ,62,0%,1,, , ,-54,102,-2,-44,-38,,, ,,0,0,,,,0,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-34,-42,-39,,, ,,0,0,,,,0,0,,
,VS1,H,#REF!, ,60,0%,7,, , ,-49,89,-31,-41,-39,,, ,,0,0,,,,-41,-36,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-35,-45,-38,,, ,,0,-34,,,,-38,-36,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-27,-45,-35,,, ,,0,-37,,,,0,0,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-26,-46,-36,,, ,,0,0,,,,0,0,,
,IF,I,#REF!, ,28, ,0,, , , , ,-42,-43,-42.5,,, ,,0,0,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-36,-43,-41.5,,, ,,-45,0,,,,0,0,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-33,-44,-39,,, ,,0,0,,,,-44,-40,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-33,-41,-40,,, ,,0,0,,,,0,0,,
,VS2,I,#REF!, ,65,17%,3,, ,203,-51,58,-31,-46,-32,,, ,,0,0,,,,0,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-27,-47,-30,,, ,,0,-34,,,,-39,-36,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-33,-42,-37,,, ,,0,0,,,,0,0,,
,IF,J,#REF!, ,43, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,-31,-47,-35.5,,, ,,0,0,,,,0,0,,
,VVS2,J,#REF!, ,54,0%,3,, , ,-53,80,-29,-48,-30,,, ,,0,0,,,,0,0,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-31,-43,-34,,, ,,0,0,,,,0,0,,
,VS2,J,#REF!, ,57, ,1,, , ,-51, ,-34,-41,-37.5,,, ,,0,0,,,,0,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-29,-35,-29,,, ,,0,-33,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-26,-44,-29.5,,, ,,-36,-33,,,,0,-33,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,-42,-47,-47,,, ,,0,0,,,,0,0,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,-41,-46,-44,,, ,,0,0,,,,0,-46,,
,VVS2,K,#REF!, ,38,10%,2,, ,95,-54,107,-36,-41,-39,,, ,,0,0,,,,0,-41,,
,VS1,K,#REF!, ,34,0%,1,, , , ,95,-36,-49,-37,,, ,,0,0,,,,-37,-49,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,-23,-40,-37,,, ,,0,0,,,,0,0,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-28,-32,-28,,, ,,0,0,,,,0,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-23,-37,-30,,, ,,0,0,,,,0,0,,
,IF,L,#REF!, ,44, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-41,-43,-43,,, ,,0,0,,,,0,0,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,0,0,0,,, ,,0,0,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-29,-38,-36,,, ,,0,0,,,,0,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-43,-43,-43,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-23,-40,-39,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-28,-28,-28,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , , ,123,-35,-54,-42,,, ,,0,0,,,,0,-46,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,-31,-47,-34,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , , , ,-31,-55,-38,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-41,-44,-42.5,,, ,,-44,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,-28,-38,-34,,, ,,0,0,,,,0,0,,
0.30-0.34 GD FNT,IF,D,#REF!, ,66, ,0,, , , , ,-49,-55,-54,,, ,,0,0,,,,0,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-48,-48,-48,,, ,,0,0,,,,0,0,,
,VVS2,D,#REF!, ,47,0%,15,, , , ,26,-49,-49,-49,,, ,,0,-49,,,,0,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-46,-48,-47,,, ,,0,-46,,,,0,0,,
,VS2,D,#REF!, ,70,0%,22,, , , ,98,-46,-48,-47,,, ,,0,0,,,,0,0,,
,SI1,D,#REF!, ,53,0%,32,, , , ,35,-40,-51,-47,,, ,,0,-47,,,,0,-50,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-37,-48,-44.5,,, ,,0,0,,,,0,0,,
,IF,E,#REF!, ,21, ,0,, , , , ,-47,-47,-47,,, ,,0,0,,,,0,0,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,-48,-49,-48,,, ,,0,0,,,,0,0,,
