SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
,VVS1,M,#REF!, ,56,0%, ,, , ,-48,102,-28,-56,-42,,, ,-42,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,,-49, ,-46,123,-24,-50,-38,,, ,-38,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,,-49, , ,120,-26,-50,-34.5,,, ,-35,-41,0,,,,0,-45,,
,VS2,M,#REF!, ,56, , ,,-45, , , ,-27,-43,-36,,, ,-36,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,,-49, , ,139,-29,-55,-35,,, ,-35,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,,-47, , , ,-25,-45,-38,,, ,-38,0,0,,,,0,0,,
0.30-0.34 XXX STG,IF,D,#REF!, ,66, ,0,,-48, , , ,-38,-48,-45,,, ,,-44,-44,,,,-43.25,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-29,-53,-47,,, ,,-44,-45,,,,-43.85714286,0,,
,VVS2,D,#REF!, ,47,0%,15,, , ,-52,26,-31,-52,-47,,, ,,-45,-47,,,,-47.6,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-39,-49,-46,,, ,,-45,-43,,,,-45.6,-48,,
,VS2,D,#REF!, ,70,0%,22,,VG FNT, , ,98,-45,-48,-47,,, ,,-46,-43,,,,-47.6,-46,,
,SI1,D,#REF!, ,53,0%,32,,D, , ,35,-45,-50,-46,,, ,,-49,-44,,,,-47.5,-47,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-42,-54,-44.5,,, ,,-54,-48,,,,0,-42,,
,IF,E,#REF!, ,21, ,0,, , , , ,-23,-50,-46,,, ,,-48,-46,,,,0,-47,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,-18,-52,-45,,, ,,-46,-43,,,,-44.5,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30,-52,82,-38,-50,-45,,, ,,0,-45,,,,-43,-46,,
