C_DISC,CERT,SHAPE,PCS,WEIGHT,COLOR,CLARITY,CUT,POL,SY,FLUO,FLUO_COLOR,FANCY_COLOR,FANCY_INTENSITY,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,FMTS,C1T,REMARKS,DEMAND_STATUS,ASSORT_DATE,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE, Inv_Date, Inv_Party, Inv_By , Inv_Term
-36.54,FACT,RO,1,0.3,F,VVS2,EX,EX,EX,NON,NN,NN,NN,NN,61.3,58,4.29,4.31,,1.005,NN,NN,NN,NN,NN,,,34,14.5,40.6,43,4,Polished,,,PTD,,,,,24-02-2022,104,F,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,CL,,24-02-2022,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,06-06-2022,Caratlane Trading Pvt. Ltd.,Caratlane Trading Pvt. Ltd.,7
-33,FM,RO,1,0.3,H,VVS2,EX,EX,EX,NON,NN,NN,NN,NN,61.9,56,4.3,4.32,,1.005,NN,NN,NN,NN,NN,"Needle, Pinpoint, Cloud",,35.5,15.5,40.8,43,3.5,Polished,,,PTD,,,N,DD,26-03-2022,69,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,MBMGFM - FM108302-22,,26-03-2022,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-33.04,IIDGR,RO,1,0.3,F,VS2,EX,EX,EX,NON,NN,NN,NN,NN,62.9,55.1,4.25,4.27,,1.005,NN,NN,NN,NN,NN,"Cloud, Crystal",,35,16.4,40.8,42.7,3.8,Polished,,,,,,N,,23-03-2022,78,F,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,RUSSIAN FEDERATION,ANABAR,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-29.42,IIDGR,RO,1,0.3,G,VVS1,EX,EX,EX,NON,NN,NN,NN,NN,62.1,56.7,4.27,4.29,,1.005,NN,NN,NN,NN,NN,"Cloud, Feather",,35,15.2,40.9,42.5,4.4,Polished,,,,,,N,,23-03-2022,78,G,VVS1,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,AGGREGATE,UNKNOWN,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-30,IIDGR,RO,1,0.3,H,VVS2,EX,EX,EX,NON,NN,NN,NN,NN,62.2,55.5,4.25,4.27,,1.005,NN,NN,NN,NN,NN,"Feather, Needle, Pinpoint",,34.8,15.7,40.8,42.7,3.8,Polished,,,,,,N,,23-03-2022,78,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,RUSSIAN FEDERATION,ANABAR,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-31.88,IIDGR,RO,1,0.3,H,VVS1,VG,EX,EX,NON,NN,NN,NN,NN,63,53.9,4.23,4.25,,1.005,NN,NN,NN,NN,NN,"Cloud, Feather",,34.8,16.5,40.9,42.5,4,Polished,,,,,,N,,23-03-2022,78,H,VVS1,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,RUSSIAN FEDERATION,ANABAR,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-32.92,IIDGR,RO,1,0.3,F,VS1,EX,EX,VG,FNT,NN,NN,NN,NN,62.2,56.6,4.22,4.25,,1.007,NN,NN,NN,NN,NN,"Cloud, Crystal, Natural, Needle",,34.9,15.6,40.8,42.8,3.8,Polished,,,,,,N,,23-03-2022,78,F,VS1,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,RUSSIAN FEDERATION,ANABAR,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-29.79,IIDGR,RO,1,0.3,H,VVS1,EX,EX,EX,NON,NN,NN,NN,NN,60.9,60.3,4.26,4.28,,1.005,NN,NN,NN,NN,NN,"Cloud, Feather, Natural",,34.9,14.1,40.8,42.6,4.2,Polished,,,,,,N,,23-03-2022,78,H,VVS1,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,AGGREGATE,UNKNOWN,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-30.24,IIDGR,RO,1,0.3,I,VS1,EX,EX,EX,NON,NN,NN,NN,NN,61.6,59,4.24,4.26,,1.005,NN,NN,NN,NN,NN,"Cloud, Crystal, Feather, Pinpoint",,34.9,14.6,40.9,42.8,4.2,Polished,,,,,,N,,23-03-2022,78,I,VS1,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,AGGREGATE,UNKNOWN,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-30,IIDGR,RO,1,0.3,H,VVS2,EX,EX,EX,NON,NN,NN,NN,NN,62.4,55.4,4.26,4.29,,1.007,NN,NN,NN,NN,NN,"Feather, Pinpoint",,34.9,15.7,40.9,42.5,4.2,Polished,,,,,,N,,23-03-2022,78,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,RUSSIAN FEDERATION,ANABAR,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-31.88,IIDGR,RO,1,0.3,G,VVS2,VG,EX,EX,NON,NN,NN,NN,NN,63.4,53.8,4.22,4.25,,1.007,NN,NN,NN,NN,NN,"Cloud, Feather, Pinpoint",,34.7,16.1,40.9,42.8,4.5,Polished,,,,,,N,,23-03-2022,78,G,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,AGGREGATE,UNKNOWN,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-30,IIDGR,RO,1,0.3,H,VVS2,EX,EX,EX,NON,NN,NN,NN,NN,62.4,54.1,4.27,4.29,,1.005,NN,NN,NN,NN,NN,"Cloud, Feather",,34.8,16.8,40.8,42.5,3.1,Polished,,,,,,N,,23-03-2022,78,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,AGGREGATE,UNKNOWN,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
-51,GIA,RO,1,0.3,I,SI2,VG,EX,VG,FNT,BLUE,NN,NN,NN,64.2,57,4.17,4.2,2.69,1.007,NN,NN,NN,BC3,WC1,"Crystal, Feather",,38.5,17,40.2,42,5,Polished,55,75,PTD,N,N,N,DD,10-03-2022,91,I,SI2,OP1,N1,NN,NN,NN,NN,SGR1,NN,,,Y,,GIA,,10-03-2022,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,08-06-2022,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0
