Price per carat,Size,Colour,Clarity,Month,Year,Rapper,Rappri
8179.5,1.01-1.09,F,IF,Apr,2017,-38.5,13300
8040,1.01-1.09,F,VVS1,Apr,2017,-33,12000
7169,1.01-1.09,F,VVS2,Apr,2017,-33,10700
6811,1.01-1.09,F,VS1,Apr,2017,-30.5,9800
6106,1.01-1.09,F,VS2,Apr,2017,-29,8600
5320,1.01-1.09,F,SI1,Apr,2017,-30,7600
4221,1.01-1.09,F,SI2,Apr,2017,-33,6300
3058,1.01-1.09,F,I1,Apr,2017,-30.5,4400
6765,1.01-1.09,G,IF,Apr,2017,-38.5,11000
6825,1.01-1.09,G,VVS1,Apr,2017,-35,10500
6270,1.01-1.09,G,VVS2,Apr,2017,-34,9500
6020,1.01-1.09,G,VS1,Apr,2017,-30,8600
5569.5,1.01-1.09,G,VS2,Apr,2017,-29.5,7900
4970,1.01-1.09,G,SI1,Apr,2017,-30,7100
3894,1.01-1.09,G,SI2,Apr,2017,-34,5900
2919,1.01-1.09,G,I1,Apr,2017,-30.5,4200
5562.5,1.01-1.09,H,IF,Apr,2017,-37.5,8900
5655,1.01-1.09,H,VVS1,Apr,2017,-35,8700
5427,1.01-1.09,H,VVS2,Apr,2017,-33,8100
5320,1.01-1.09,H,VS1,Apr,2017,-30,7600
5184,1.01-1.09,H,VS2,Apr,2017,-28,7200
4485,1.01-1.09,H,SI1,Apr,2017,-31,6500
3724,1.01-1.09,H,SI2,Apr,2017,-33.5,5600
2780,1.01-1.09,H,I1,Apr,2017,-30.5,4000
4598,1.01-1.09,I,IF,Apr,2017,-39.5,7600
4736,1.01-1.09,I,VVS1,Apr,2017,-36,7400
4554,1.01-1.09,I,VVS2,Apr,2017,-34,6900
4522.5,1.01-1.09,I,VS1,Apr,2017,-32.5,6700
4448,1.01-1.09,I,VS2,Apr,2017,-30.5,6400
4050,1.01-1.09,I,SI1,Apr,2017,-32.5,6000
3354,1.01-1.09,I,SI2,Apr,2017,-35.5,5200
2502,1.01-1.09,I,I1,Apr,2017,-30.5,3600
3813,1.01-1.09,J,IF,Apr,2017,-38.5,6200
3750,1.01-1.09,J,VVS1,Apr,2017,-37.5,6000
3835,1.01-1.09,J,VVS2,Apr,2017,-35,5900
3790.5,1.01-1.09,J,VS1,Apr,2017,-33.5,5700
3767.5,1.01-1.09,J,VS2,Apr,2017,-31.5,5500
3391.5,1.01-1.09,J,SI1,Apr,2017,-33.5,5100
3031.5,1.01-1.09,J,SI2,Apr,2017,-35.5,4700
2064,1.01-1.09,J,I1,Apr,2017,-35.5,3200
3085.5,1.01-1.09,K,IF,Apr,2017,-39.5,5100
3111.5,1.01-1.09,K,VVS1,Apr,2017,-36.5,4900
3078.5,1.01-1.09,K,VVS2,Apr,2017,-34.5,4700
3082.5,1.01-1.09,K,VS1,Apr,2017,-31.5,4500
2988.5,1.01-1.09,K,VS2,Apr,2017,-30.5,4300
2767.5,1.01-1.09,K,SI1,Apr,2017,-32.5,4100
2451,1.01-1.09,K,SI2,Apr,2017,-35.5,3800
1935,1.01-1.09,K,I1,Apr,2017,-35.5,3000
2875,1.01-1.09,L,IF,Apr,2017,-37.5,4600
2750,1.01-1.09,L,VVS1,Apr,2017,-37.5,4400
2773.5,1.01-1.09,L,VVS2,Apr,2017,-35.5,4300
2849.5,1.01-1.09,L,VS1,Apr,2017,-30.5,4100
2749.5,1.01-1.09,L,VS2,Apr,2017,-29.5,3900
2448,1.01-1.09,L,SI1,Apr,2017,-32,3600
2184.5,1.01-1.09,L,SI2,Apr,2017,-35.8,3400
1806,1.01-1.09,L,I1,Apr,2017,-35.5,2800
2480.5,1.01-1.09,M,IF,Apr,2017,-39.5,4100
2379,1.01-1.09,M,VVS1,Apr,2017,-39,3900
2331,1.01-1.09,M,VVS2,Apr,2017,-37,3700
2394,1.01-1.09,M,VS1,Apr,2017,-33.5,3600
2295,1.01-1.09,M,VS2,Apr,2017,-32.5,3400
2128,1.01-1.09,M,SI1,Apr,2017,-33.5,3200
1870.5,1.01-1.09,M,SI2,Apr,2017,-35.5,2900
1612.5,1.01-1.09,M,I1,Apr,2017,-35.5,2500
12213,1.01-1.09,D,IF,May,2017,-41,20700
9900,1.01-1.09,D,VVS1,May,2017,-40,16500
8784,1.01-1.09,D,VVS2,May,2017,-39,14400
7562.5,1.01-1.09,D,VS1,May,2017,-37.5,12100
6955,1.01-1.09,D,VS2,May,2017,-35,10700
5248,1.01-1.09,D,SI1,May,2017,-36,8200
4347,1.01-1.09,D,SI2,May,2017,-37,6900
3313.5,1.01-1.09,D,I1,May,2017,-29.5,4700
9106,1.01-1.09,E,IF,May,2017,-42,15700
8508.5,1.01-1.09,E,VVS1,May,2017,-40.5,14300
7020,1.01-1.09,E,VVS2,May,2017,-40,11700
6848,1.01-1.09,E,VS1,May,2017,-36,10700
6127.5,1.01-1.09,E,VS2,May,2017,-35.5,9500
5056,1.01-1.09,E,SI1,May,2017,-36,7900
4158,1.01-1.09,E,SI2,May,2017,-37,6600
3172.5,1.01-1.09,E,I1,May,2017,-29.5,4500
7980,1.01-1.09,F,IF,May,2017,-40,13300
7500,1.01-1.09,F,VVS1,May,2017,-37.5,12000
6741,1.01-1.09,F,VVS2,May,2017,-37,10700
6468,1.01-1.09,F,VS1,May,2017,-34,9800
5762,1.01-1.09,F,VS2,May,2017,-33,8600
4940,1.01-1.09,F,SI1,May,2017,-35,7600
4000.5,1.01-1.09,F,SI2,May,2017,-36.5,6300
3102,1.01-1.09,F,I1,May,2017,-29.5,4400
6380,1.01-1.09,G,IF,May,2017,-42,11000
6562.5,1.01-1.09,G,VVS1,May,2017,-37.5,10500
5985,1.01-1.09,G,VVS2,May,2017,-37,9500
5676,1.01-1.09,G,VS1,May,2017,-34,8600
5293,1.01-1.09,G,VS2,May,2017,-33,7900
